State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2018,1,744101.0,1622,2769297.9039997994
andaman-&-nicobar-islands,2018,1,744103.0,1223,2238041.8716124697
andaman-&-nicobar-islands,2018,1,744102.0,969,3519059.937562449
andaman-&-nicobar-islands,2018,1,744105.0,685,1298560.9515503529
andaman-&-nicobar-islands,2018,1,744104.0,340,1039715.311145054
andaman-&-nicobar-islands,2018,1,744107.0,302,556059.5308556345
andaman-&-nicobar-islands,2018,1,744301.0,283,445739.1633851439
andaman-&-nicobar-islands,2018,1,744112.0,269,333709.56700413954
andaman-&-nicobar-islands,2018,1,744202.0,193,238914.01667155625
andaman-&-nicobar-islands,2018,1,744302.0,168,547469.6509380838
andaman-&-nicobar-islands,2018,2,744101.0,2701,6310089.917084678
andaman-&-nicobar-islands,2018,2,744103.0,1965,4752146.698501162
andaman-&-nicobar-islands,2018,2,744102.0,1525,5810267.574788321
andaman-&-nicobar-islands,2018,2,744105.0,997,2200332.971862734
andaman-&-nicobar-islands,2018,2,744301.0,767,1953749.3787199224
andaman-&-nicobar-islands,2018,2,744104.0,659,1650346.1906506256
andaman-&-nicobar-islands,2018,2,744107.0,594,1601569.982144104
andaman-&-nicobar-islands,2018,2,744112.0,432,578829.1795229593
andaman-&-nicobar-islands,2018,2,744202.0,405,626523.9803147907
andaman-&-nicobar-islands,2018,2,744302.0,291,1026590.0735863491
andaman-&-nicobar-islands,2018,3,744101.0,3462,10833893.444488766
andaman-&-nicobar-islands,2018,3,744103.0,3182,10184154.358592125
andaman-&-nicobar-islands,2018,3,744102.0,2224,10365275.479700703
andaman-&-nicobar-islands,2018,3,744105.0,1613,5152534.080403434
andaman-&-nicobar-islands,2018,3,744104.0,1029,2588077.6866583927
andaman-&-nicobar-islands,2018,3,744301.0,975,4256576.349618757
andaman-&-nicobar-islands,2018,3,744112.0,579,1145815.7801705198
andaman-&-nicobar-islands,2018,3,744107.0,547,1492405.302862124
andaman-&-nicobar-islands,2018,3,744302.0,417,1976781.919949036
andaman-&-nicobar-islands,2018,3,744202.0,341,2099404.078986112
andaman-&-nicobar-islands,2018,4,744101.0,4674,16392855.280625315
andaman-&-nicobar-islands,2018,4,744103.0,4576,17022520.257624768
andaman-&-nicobar-islands,2018,4,744102.0,3306,17019977.183053624
andaman-&-nicobar-islands,2018,4,744105.0,2513,9935282.83215146
andaman-&-nicobar-islands,2018,4,744104.0,1432,6091757.917089159
andaman-&-nicobar-islands,2018,4,744211.0,1225,3451359.606027063
andaman-&-nicobar-islands,2018,4,744301.0,928,4606293.657525641
andaman-&-nicobar-islands,2018,4,744112.0,759,2208675.0435713646
andaman-&-nicobar-islands,2018,4,744107.0,747,1825659.512897896
andaman-&-nicobar-islands,2018,4,744202.0,702,3797054.167763442
andaman-&-nicobar-islands,2019,1,744103.0,5742,19401964.77965755
andaman-&-nicobar-islands,2019,1,744101.0,5156,15501306.22719592
andaman-&-nicobar-islands,2019,1,744102.0,3925,16683547.094795756
andaman-&-nicobar-islands,2019,1,744105.0,3553,11588669.48032856
andaman-&-nicobar-islands,2019,1,744104.0,2833,9141657.219605075
andaman-&-nicobar-islands,2019,1,744211.0,1511,5794838.401831552
andaman-&-nicobar-islands,2019,1,744202.0,1112,3613381.294736007
andaman-&-nicobar-islands,2019,1,744107.0,1029,3592930.297577925
andaman-&-nicobar-islands,2019,1,744301.0,920,4652963.41114777
andaman-&-nicobar-islands,2019,1,744112.0,802,1893718.65378222
andaman-&-nicobar-islands,2019,2,744104.0,6142,15625676.560883244
andaman-&-nicobar-islands,2019,2,744103.0,5847,23751450.067206983
andaman-&-nicobar-islands,2019,2,744101.0,4863,19061125.41121897
andaman-&-nicobar-islands,2019,2,744102.0,4120,18948733.987097777
andaman-&-nicobar-islands,2019,2,744105.0,3500,13418692.199162653
andaman-&-nicobar-islands,2019,2,744202.0,1153,3619993.3910789257
andaman-&-nicobar-islands,2019,2,744107.0,1124,2967445.3902032813
andaman-&-nicobar-islands,2019,2,744211.0,1047,3168331.99173521
andaman-&-nicobar-islands,2019,2,744301.0,1007,4849284.51925976
andaman-&-nicobar-islands,2019,2,744112.0,763,2928099.608406143
andaman-&-nicobar-islands,2019,3,744103.0,5680,19906337.014255583
andaman-&-nicobar-islands,2019,3,744101.0,5606,18745152.093515635
andaman-&-nicobar-islands,2019,3,744104.0,4786,15754793.354826454
andaman-&-nicobar-islands,2019,3,744102.0,3643,14572605.602745283
andaman-&-nicobar-islands,2019,3,744105.0,3512,11767223.99688773
andaman-&-nicobar-islands,2019,3,744202.0,1417,3875602.0982028735
andaman-&-nicobar-islands,2019,3,744301.0,1402,6195496.621729916
andaman-&-nicobar-islands,2019,3,744211.0,1118,2983697.449378184
andaman-&-nicobar-islands,2019,3,744107.0,914,1988299.759710987
andaman-&-nicobar-islands,2019,3,744112.0,833,2198831.69194062
andaman-&-nicobar-islands,2019,4,744104.0,6633,20626642.70150852
andaman-&-nicobar-islands,2019,4,744101.0,5282,23247752.473849066
andaman-&-nicobar-islands,2019,4,744103.0,4840,19792507.955761045
andaman-&-nicobar-islands,2019,4,744105.0,3528,15302141.17488026
andaman-&-nicobar-islands,2019,4,744102.0,3237,15350444.97320769
andaman-&-nicobar-islands,2019,4,744202.0,1783,5800016.5561128855
andaman-&-nicobar-islands,2019,4,744211.0,1596,7908264.721918669
andaman-&-nicobar-islands,2019,4,744301.0,1549,7056478.928838715
andaman-&-nicobar-islands,2019,4,744201.0,886,946768.0636478986
andaman-&-nicobar-islands,2019,4,744107.0,777,3030368.911900454
